model_a,model_b,endpoint,winner
gemma,gpt-4.1-mini,ADME_hPPB,gpt-4.1-mini
gemma,gpt-4.1-mini,ADME_MDR1_ER,gpt-4.1-mini
gemma,gpt-4.1-mini,ADME_rPPB,gpt-4.1-mini
gemma,gpt-4.1-mini,ADME_Sol,gpt-4.1-mini
gemma,gpt-4.1-mini,ADME_MDR1_ER,gpt-4.1-mini
gemma,gpt-4.1-mini,ADME_MDR1_ER,gpt-4.1-mini
gemma,gpt-4.1-mini,ADME_Sol,gpt-4.1-mini
gemma,gpt-4.1-mini,ADME_RLM,gpt-4.1-mini
gemma,gpt-4.1-mini,ADME_HLM,gpt-4.1-mini
gemma,gpt-4.1-mini,ADME_Sol,gpt-4.1-mini
gemma,gpt-4.1-mini,ADME_Sol,gpt-4.1-mini
gemma,gpt-4.1-mini,ADME_hPPB,gpt-4.1-mini
gemma,gpt-4.1-mini,ADME_Sol,gpt-4.1-mini
gemma,gpt-4.1-mini,ADME_HLM,gpt-4.1-mini
gemma,gpt-4.1-mini,ADME_RLM,gpt-4.1-mini
gemma,gpt-4.1-mini,ADME_RLM,gpt-4.1-mini
gemma,gpt-4.1-mini,ADME_HLM,gpt-4.1-mini
gemma,gpt-4.1-mini,ADME_Sol,gpt-4.1-mini
gemma,gpt-4.1-mini,ADME_rPPB,gpt-4.1-mini
gemma,gpt-4.1-mini,ADME_RLM,gpt-4.1-mini
gemma,gpt-4.1-mini,ADME_rPPB,gpt-4.1-mini
gemma,gpt-4.1-mini,ADME_hPPB,gpt-4.1-mini
gemma,gpt-4.1-mini,ADME_HLM,gpt-4.1-mini
gemma,gpt-4.1-mini,ADME_hPPB,gpt-4.1-mini
gemma,gpt-4.1-mini,ADME_HLM,gpt-4.1-mini
gemma,gpt-4.1-mini,ADME_rPPB,gpt-4.1-mini
gemma,gpt-4.1-mini,ADME_MDR1_ER,gpt-4.1-mini
gemma,gpt-4.1-mini,ADME_RLM,gpt-4.1-mini
gemma,gpt-4.1-mini,ADME_HLM,gpt-4.1-mini
gemma,gpt-4.1-mini,ADME_hPPB,gpt-4.1-mini
gemma,gpt-4.1-mini,ADME_MDR1_ER,gpt-4.1-mini
gemma,gpt-4.1-mini,ADME_rPPB,gpt-4.1-mini
gemma,gpt-4.1-mini,ADME_MDR1_ER,gpt-4.1-mini
gemma,gpt-4.1-mini,ADME_rPPB,gpt-4.1-mini
gemma,gpt-4.1-mini,ADME_RLM,gpt-4.1-mini
gemma,gpt-4.1-mini,ADME_hPPB,gpt-4.1-mini
gemma,gpt-4.1-mini,ADME_Sol,gpt-4.1-mini
gemma,gpt-4.1-mini,ADME_RLM,gpt-4.1-mini
gemma,gpt-4.1-mini,ADME_Sol,gpt-4.1-mini
gemma,gpt-4.1-mini,ADME_RLM,gpt-4.1-mini
gemma,gpt-4.1-mini,ADME_RLM,gpt-4.1-mini
gemma,gpt-4.1-mini,ADME_Sol,gpt-4.1-mini
gemma,gpt-4.1-mini,ADME_rPPB,gpt-4.1-mini
gemma,gpt-4.1-mini,ADME_Sol,gpt-4.1-mini
gemma,gpt-4.1-mini,ADME_Sol,gpt-4.1-mini
gemma,gpt-4.1-mini,ADME_HLM,gpt-4.1-mini
gemma,gpt-4.1-mini,ADME_RLM,gpt-4.1-mini
gemma,gpt-4.1-mini,ADME_Sol,gpt-4.1-mini
gemma,gpt-4.1-mini,ADME_hPPB,gpt-4.1-mini
gemma,gpt-4.1-mini,ADME_rPPB,gpt-4.1-mini
gemma,gpt-4.1-mini,ADME_MDR1_ER,gpt-4.1-mini
gemma,gpt-4.1-mini,ADME_HLM,gpt-4.1-mini
gemma,gpt-4.1-mini,ADME_MDR1_ER,gpt-4.1-mini
gemma,gpt-4.1-mini,ADME_MDR1_ER,gpt-4.1-mini
gemma,gpt-4.1-mini,ADME_Sol,gpt-4.1-mini
gemma,gpt-4.1-mini,ADME_Sol,gpt-4.1-mini
gemma,gpt-4.1-mini,ADME_RLM,gpt-4.1-mini
gemma,gpt-4.1-mini,ADME_RLM,gpt-4.1-mini
gemma,gpt-4.1-mini,ADME_RLM,gpt-4.1-mini
gemma,gpt-4.1-mini,ADME_hPPB,gpt-4.1-mini
gemma,gpt-4.1-mini,ADME_rPPB,gpt-4.1-mini
gemma,gpt-4.1-mini,ADME_MDR1_ER,gpt-4.1-mini
gemma,gpt-4.1-mini,ADME_Sol,gpt-4.1-mini
gemma,gpt-4o-mini,ADME_rPPB,gpt-4o-mini
gemma,gpt-4o-mini,ADME_rPPB,gpt-4o-mini
gemma,gpt-4o-mini,ADME_Sol,gpt-4o-mini
gemma,gpt-4o-mini,ADME_RLM,gpt-4o-mini
gemma,gpt-4o-mini,ADME_RLM,gpt-4o-mini
gemma,gpt-4o-mini,ADME_hPPB,gpt-4o-mini
gemma,gpt-4o-mini,ADME_MDR1_ER,gpt-4o-mini
gemma,gpt-4o-mini,ADME_rPPB,gpt-4o-mini
gemma,gpt-4o-mini,ADME_HLM,gpt-4o-mini
gemma,gpt-4o-mini,ADME_rPPB,gpt-4o-mini
gemma,gpt-4o-mini,ADME_RLM,gpt-4o-mini
gemma,gpt-4o-mini,ADME_RLM,gpt-4o-mini
gemma,gpt-4o-mini,ADME_RLM,gemma
gemma,gpt-4o-mini,ADME_hPPB,gpt-4o-mini
gemma,gpt-4o-mini,ADME_RLM,gpt-4o-mini
gemma,gpt-4o-mini,ADME_HLM,gpt-4o-mini
gemma,gpt-4o-mini,ADME_HLM,gpt-4o-mini
gemma,gpt-4o-mini,ADME_HLM,gpt-4o-mini
gemma,gpt-4o-mini,ADME_MDR1_ER,gpt-4o-mini
gemma,gpt-4o-mini,ADME_HLM,gpt-4o-mini
gemma,gpt-4o-mini,ADME_MDR1_ER,gemma
gemma,gpt-4o-mini,ADME_HLM,gpt-4o-mini
gemma,gpt-4o-mini,ADME_RLM,gpt-4o-mini
gemma,gpt-4o-mini,ADME_MDR1_ER,gpt-4o-mini
gemma,gpt-4o-mini,ADME_HLM,gpt-4o-mini
gemma,gpt-4o-mini,ADME_hPPB,gemma
gemma,gpt-4o-mini,ADME_MDR1_ER,gpt-4o-mini
gemma,gpt-4o-mini,ADME_RLM,gpt-4o-mini
gemma,gpt-4o-mini,ADME_rPPB,gpt-4o-mini
gemma,gpt-4o-mini,ADME_hPPB,gpt-4o-mini
gemma,gpt-4o-mini,ADME_HLM,gpt-4o-mini
gemma,gpt-4o-mini,ADME_rPPB,gpt-4o-mini
gemma,gpt-4o-mini,ADME_RLM,gpt-4o-mini
gemma,gpt-4o-mini,ADME_Sol,gpt-4o-mini
gemma,gpt-4o-mini,ADME_hPPB,gpt-4o-mini
gemma,gpt-4o-mini,ADME_hPPB,gpt-4o-mini
gemma,gpt-4o-mini,ADME_HLM,gpt-4o-mini
gemma,gpt-4o-mini,ADME_hPPB,gpt-4o-mini
gemma,gpt-4o-mini,ADME_rPPB,gemma
gemma,gpt-4o-mini,ADME_hPPB,gpt-4o-mini
gemma,gpt-4o-mini,ADME_Sol,gpt-4o-mini
gemma,gpt-4o-mini,ADME_rPPB,gpt-4o-mini
gemma,gpt-4o-mini,ADME_HLM,gpt-4o-mini
gemma,gpt-4o-mini,ADME_HLM,gpt-4o-mini
gemma,gpt-4o-mini,ADME_rPPB,gpt-4o-mini
gemma,gpt-4o-mini,ADME_rPPB,gpt-4o-mini
gemma,gpt-4o-mini,ADME_rPPB,gpt-4o-mini
gemma,gpt-4o-mini,ADME_HLM,gpt-4o-mini
gemma,gpt-4o-mini,ADME_MDR1_ER,gpt-4o-mini
gemma,gpt-4o-mini,ADME_RLM,gpt-4o-mini
gemma,gpt-4o-mini,ADME_Sol,gpt-4o-mini
gemma,gpt-4o-mini,ADME_rPPB,gemma
gemma,gpt-4o-mini,ADME_Sol,gpt-4o-mini
gemma,gpt-4o-mini,ADME_rPPB,gpt-4o-mini
gemma,gpt-4o-mini,ADME_MDR1_ER,gpt-4o-mini
gemma,gpt-4o-mini,ADME_MDR1_ER,gpt-4o-mini
gemma,gpt-4o-mini,ADME_HLM,gpt-4o-mini
gemma,gpt-4o-mini,ADME_hPPB,gpt-4o-mini
gemma,gpt-4o-mini,ADME_MDR1_ER,gemma
gemma,gpt-4o-mini,ADME_HLM,gpt-4o-mini
gemma,gpt-4o-mini,ADME_Sol,gpt-4o-mini
gemma,gpt-4o-mini,ADME_RLM,gpt-4o-mini
gemma,gpt-4o-mini,ADME_Sol,gpt-4o-mini
gemma,gpt-4o-mini,ADME_rPPB,gpt-4o-mini
gemma,gpt-4o-mini,ADME_MDR1_ER,gpt-4o-mini
gemma,gpt-4o-mini,ADME_hPPB,gpt-4o-mini
gemma,gpt-4o-mini,ADME_RLM,gpt-4o-mini
gemma,gpt-4o-mini,ADME_hPPB,gpt-4o-mini
gemma,gpt-4o-mini,ADME_RLM,gpt-4o-mini
gemma,gpt-4o-mini,ADME_HLM,gpt-4o-mini
gemma,gpt-4o-mini,ADME_MDR1_ER,gpt-4o-mini
gemma,gpt-4o-mini,ADME_rPPB,gpt-4o-mini
gemma,gpt-4o-mini,ADME_HLM,gpt-4o-mini
gemma,gpt-4o-mini,ADME_Sol,gpt-4o-mini
gemma,gpt-4o-mini,ADME_MDR1_ER,gpt-4o-mini
gemma,gpt-4o-mini,ADME_HLM,gemma
gemma,gpt-4o-mini,ADME_hPPB,gpt-4o-mini
gemma,gpt-4o-mini,ADME_hPPB,gpt-4o-mini
gemma,gpt-4o-mini,ADME_rPPB,gpt-4o-mini
gemma,gpt-4o-mini,ADME_RLM,gpt-4o-mini
gemma,gpt-4o-mini,ADME_hPPB,gpt-4o-mini
gemma,gpt-4o-mini,ADME_hPPB,gpt-4o-mini
gemma,gpt-4o-mini,ADME_MDR1_ER,gpt-4o-mini
gemma,gpt-4o-mini,ADME_hPPB,gpt-4o-mini
gemma,gpt-4o-mini,ADME_Sol,gemma
gemma,gpt-4o-mini,ADME_hPPB,gpt-4o-mini
gemma,gpt-4o-mini,ADME_RLM,gpt-4o-mini
gemma,gpt-4o-mini,ADME_Sol,gemma
gemma,gpt-4o-mini,ADME_MDR1_ER,gpt-4o-mini
gemma,gpt-4o-mini,ADME_rPPB,gpt-4o-mini
gemma,gpt-4o-mini,ADME_HLM,gpt-4o-mini
gemma,gpt-4o-mini,ADME_RLM,gpt-4o-mini
gemma,gpt-4o-mini,ADME_RLM,gpt-4o-mini
gemma,gpt-4o-mini,ADME_HLM,gpt-4o-mini
gemma,gpt-4o-mini,ADME_Sol,gpt-4o-mini
gemma,gpt-4o-mini,ADME_HLM,gemma
gemma,gpt-4o-mini,ADME_HLM,gpt-4o-mini
gemma,gpt-4o-mini,ADME_HLM,gpt-4o-mini
gemma,gpt-4o-mini,ADME_Sol,gpt-4o-mini
gemma,gpt-4o-mini,ADME_MDR1_ER,gpt-4o-mini
gemma,llama3,ADME_MDR1_ER,gemma
gemma,llama3,ADME_MDR1_ER,llama3
gemma,llama3,ADME_rPPB,gemma
gemma,llama3,ADME_rPPB,llama3
gemma,llama3,ADME_Sol,gemma
gemma,llama3,ADME_rPPB,llama3
gemma,llama3,ADME_HLM,gemma
gemma,llama3,ADME_HLM,gemma
gemma,llama3,ADME_Sol,gemma
gemma,llama3,ADME_HLM,gemma
gemma,llama3,ADME_hPPB,gemma
gemma,llama3,ADME_rPPB,gemma
gemma,llama3,ADME_HLM,gemma
gemma,llama3,ADME_hPPB,gemma
gemma,llama3,ADME_MDR1_ER,gemma
gemma,llama3,ADME_Sol,gemma
gemma,llama3,ADME_RLM,llama3
gemma,llama3,ADME_Sol,gemma
gemma,llama3,ADME_hPPB,gemma
gemma,llama3,ADME_MDR1_ER,llama3
gemma,llama3,ADME_hPPB,gemma
gemma,llama3,ADME_hPPB,gemma
gemma,llama3,ADME_MDR1_ER,gemma
gemma,llama3,ADME_rPPB,gemma
gemma,llama3,ADME_Sol,llama3
gemma,llama3,ADME_MDR1_ER,gemma
gemma,llama3,ADME_RLM,gemma
gemma,llama3,ADME_HLM,gemma
gemma,llama3,ADME_MDR1_ER,llama3
gemma,llama3,ADME_HLM,gemma
gemma,llama3,ADME_RLM,gemma
gemma,llama3,ADME_Sol,gemma
gemma,llama3,ADME_rPPB,gemma
gemma,llama3,ADME_Sol,llama3
gemma,llama3,ADME_MDR1_ER,llama3
gemma,llama3,ADME_rPPB,gemma
gemma,llama3,ADME_Sol,gemma
gemma,llama3,ADME_RLM,llama3
gemma,llama3,ADME_HLM,gemma
gemma,llama3,ADME_Sol,llama3
gemma,llama3,ADME_MDR1_ER,gemma
gemma,llama3,ADME_RLM,llama3
gemma,llama3,ADME_HLM,gemma
gemma,llama3,ADME_Sol,llama3
gemma,llama3,ADME_rPPB,llama3
gemma,llama3,ADME_RLM,llama3
gemma,llama3,ADME_Sol,llama3
gemma,llama3,ADME_HLM,llama3
gemma,llama3,ADME_HLM,gemma
gemma,llama3,ADME_Sol,gemma
gemma,llama3,ADME_MDR1_ER,gemma
gemma,llama3,ADME_HLM,gemma
gemma,llama3,ADME_RLM,gemma
gemma,llama3,ADME_MDR1_ER,gemma
gemma,llama3,ADME_rPPB,llama3
gemma,llama3,ADME_MDR1_ER,gemma
gemma,llama3,ADME_HLM,gemma
gemma,llama3,ADME_Sol,gemma
gemma,llama3,ADME_hPPB,gemma
gemma,llama3,ADME_MDR1_ER,gemma
gemma,llama3,ADME_RLM,gemma
gemma,llama3,ADME_hPPB,llama3
gemma,llama3,ADME_HLM,gemma
gemma,llama3,ADME_rPPB,llama3
gemma,llama3,ADME_hPPB,gemma
gemma,llama3,ADME_MDR1_ER,gemma
gemma,llama3,ADME_RLM,gemma
gemma,llama3,ADME_HLM,gemma
gemma,llama3,ADME_Sol,llama3
gemma,llama3,ADME_hPPB,gemma
gemma,llama3,ADME_Sol,llama3
gemma,llama3,ADME_rPPB,llama3
gemma,llama3,ADME_Sol,llama3
gemma,llama3,ADME_rPPB,gemma
gemma,llama3,ADME_rPPB,gemma
gemma,llama3,ADME_rPPB,gemma
gemma,llama3,ADME_Sol,gemma
gemma,llama3,ADME_HLM,gemma
gemma,llama3,ADME_HLM,llama3
gemma,llama3,ADME_MDR1_ER,gemma
gemma,llama3,ADME_Sol,gemma
gemma,llama3,ADME_rPPB,llama3
gemma,llama3,ADME_HLM,gemma
gemma,llama3,ADME_rPPB,gemma
gemma,llama3,ADME_rPPB,llama3
gemma,llama3,ADME_HLM,gemma
gemma,llama3,ADME_HLM,gemma
gemma,llama3,ADME_Sol,gemma
gemma,llama3,ADME_hPPB,gemma
gemma,llama3,ADME_rPPB,gemma
gemma,llama3,ADME_rPPB,gemma
gemma,llama3,ADME_MDR1_ER,gemma
gemma,llama3,ADME_RLM,llama3
gemma,llama3,ADME_rPPB,llama3
gemma,llama3,ADME_RLM,llama3
gemma,llama3,ADME_HLM,gemma
gemma,llama3,ADME_hPPB,llama3
gemma,llama3,ADME_RLM,gemma
gemma,llama3,ADME_MDR1_ER,gemma
gemma,llama3,ADME_hPPB,llama3
gemma,mistral,ADME_Sol,mistral
gemma,mistral,ADME_Sol,mistral
gemma,mistral,ADME_HLM,mistral
gemma,mistral,ADME_RLM,gemma
gemma,mistral,ADME_RLM,gemma
gemma,mistral,ADME_HLM,gemma
gemma,mistral,ADME_RLM,mistral
gemma,mistral,ADME_rPPB,gemma
gemma,mistral,ADME_rPPB,gemma
gemma,mistral,ADME_RLM,mistral
gemma,mistral,ADME_RLM,mistral
gemma,mistral,ADME_Sol,mistral
gemma,mistral,ADME_rPPB,mistral
gemma,mistral,ADME_MDR1_ER,gemma
gemma,mistral,ADME_hPPB,mistral
gemma,mistral,ADME_rPPB,gemma
gemma,mistral,ADME_rPPB,mistral
gemma,mistral,ADME_rPPB,mistral
gemma,mistral,ADME_hPPB,gemma
gemma,mistral,ADME_RLM,mistral
gemma,mistral,ADME_MDR1_ER,mistral
gemma,mistral,ADME_MDR1_ER,gemma
gemma,mistral,ADME_hPPB,mistral
gemma,mistral,ADME_RLM,gemma
gemma,mistral,ADME_HLM,mistral
gemma,mistral,ADME_hPPB,mistral
gemma,mistral,ADME_hPPB,gemma
gemma,mistral,ADME_MDR1_ER,mistral
gemma,mistral,ADME_RLM,mistral
gemma,mistral,ADME_Sol,gemma
gemma,mistral,ADME_hPPB,gemma
gemma,mistral,ADME_HLM,mistral
gemma,mistral,ADME_RLM,mistral
gemma,mistral,ADME_hPPB,mistral
gemma,mistral,ADME_MDR1_ER,gemma
gemma,mistral,ADME_HLM,mistral
gemma,mistral,ADME_HLM,gemma
gemma,mistral,ADME_MDR1_ER,gemma
gemma,mistral,ADME_hPPB,mistral
gemma,mistral,ADME_hPPB,mistral
gemma,mistral,ADME_RLM,mistral
gemma,mistral,ADME_HLM,mistral
gemma,mistral,ADME_rPPB,mistral
gemma,mistral,ADME_RLM,mistral
gemma,mistral,ADME_MDR1_ER,gemma
gemma,mistral,ADME_Sol,mistral
gemma,mistral,ADME_HLM,gemma
gemma,mistral,ADME_Sol,mistral
gemma,mistral,ADME_Sol,gemma
gemma,mistral,ADME_Sol,mistral
gemma,mistral,ADME_rPPB,mistral
gemma,mistral,ADME_MDR1_ER,mistral
gemma,mistral,ADME_MDR1_ER,gemma
gemma,mistral,ADME_HLM,gemma
gemma,mistral,ADME_MDR1_ER,gemma
gemma,mistral,ADME_RLM,mistral
gemma,mistral,ADME_Sol,gemma
gemma,mistral,ADME_rPPB,mistral
gemma,mistral,ADME_HLM,mistral
gemma,mistral,ADME_MDR1_ER,mistral
gemma,mistral,ADME_MDR1_ER,gemma
gemma,mistral,ADME_rPPB,mistral
gemma,mistral,ADME_HLM,mistral
gemma,mistral,ADME_hPPB,mistral
gemma,mistral,ADME_MDR1_ER,gemma
gemma,mistral,ADME_rPPB,mistral
gemma,mistral,ADME_Sol,mistral
gemma,mistral,ADME_rPPB,gemma
gemma,mistral,ADME_rPPB,mistral
gemma,mistral,ADME_hPPB,gemma
gemma,mistral,ADME_RLM,mistral
gemma,mistral,ADME_Sol,mistral
gemma,mistral,ADME_Sol,mistral
gemma,mistral,ADME_hPPB,gemma
gemma,mistral,ADME_MDR1_ER,mistral
gemma,mistral,ADME_hPPB,mistral
gemma,mistral,ADME_HLM,mistral
gemma,mistral,ADME_MDR1_ER,gemma
gemma,mistral,ADME_rPPB,mistral
gemma,mistral,ADME_HLM,gemma
gemma,mistral,ADME_Sol,mistral
gemma,mistral,ADME_rPPB,mistral
gemma,mistral,ADME_RLM,mistral
gemma,mistral,ADME_RLM,mistral
gemma,mistral,ADME_hPPB,gemma
gemma,mistral,ADME_RLM,mistral
gemma,mistral,ADME_RLM,gemma
gemma,mistral,ADME_RLM,mistral
gemma,mistral,ADME_hPPB,gemma
gemma,mistral,ADME_RLM,gemma
gemma,mistral,ADME_MDR1_ER,mistral
gemma,mistral,ADME_hPPB,mistral
gemma,mistral,ADME_Sol,mistral
gemma,mistral,ADME_rPPB,gemma
gemma,mistral,ADME_hPPB,gemma
gemma,mistral,ADME_MDR1_ER,mistral
gemma,mistral,ADME_hPPB,mistral
gemma,mistral,ADME_rPPB,mistral
gemma,mistral,ADME_Sol,gemma
gemma,mistral,ADME_RLM,mistral
gemma,phi3,ADME_hPPB,gemma
gemma,phi3,ADME_RLM,phi3
gemma,phi3,ADME_hPPB,phi3
gemma,phi3,ADME_HLM,gemma
gemma,phi3,ADME_MDR1_ER,phi3
gemma,phi3,ADME_HLM,gemma
gemma,phi3,ADME_hPPB,gemma
gemma,phi3,ADME_rPPB,gemma
gemma,phi3,ADME_MDR1_ER,gemma
gemma,phi3,ADME_RLM,gemma
gemma,phi3,ADME_hPPB,phi3
gemma,phi3,ADME_rPPB,gemma
gemma,phi3,ADME_RLM,phi3
gemma,phi3,ADME_hPPB,gemma
gemma,phi3,ADME_rPPB,gemma
gemma,phi3,ADME_hPPB,gemma
gemma,phi3,ADME_Sol,phi3
gemma,phi3,ADME_MDR1_ER,gemma
gemma,phi3,ADME_MDR1_ER,phi3
gemma,phi3,ADME_HLM,gemma
gemma,phi3,ADME_Sol,gemma
gemma,phi3,ADME_MDR1_ER,gemma
gemma,phi3,ADME_HLM,gemma
gemma,phi3,ADME_HLM,gemma
gemma,phi3,ADME_RLM,phi3
gemma,phi3,ADME_RLM,gemma
gemma,phi3,ADME_hPPB,phi3
gemma,phi3,ADME_HLM,gemma
gemma,phi3,ADME_HLM,gemma
gemma,phi3,ADME_HLM,phi3
gemma,phi3,ADME_HLM,phi3
gemma,phi3,ADME_rPPB,phi3
gemma,phi3,ADME_HLM,gemma
gemma,phi3,ADME_Sol,gemma
gemma,phi3,ADME_Sol,gemma
gemma,phi3,ADME_RLM,phi3
gemma,phi3,ADME_RLM,phi3
gemma,phi3,ADME_hPPB,gemma
gemma,phi3,ADME_Sol,gemma
gemma,phi3,ADME_Sol,gemma
gemma,phi3,ADME_rPPB,phi3
gemma,phi3,ADME_MDR1_ER,gemma
gemma,phi3,ADME_MDR1_ER,gemma
gemma,phi3,ADME_Sol,gemma
gemma,phi3,ADME_hPPB,phi3
gemma,phi3,ADME_MDR1_ER,gemma
gemma,phi3,ADME_HLM,gemma
gemma,phi3,ADME_rPPB,gemma
gemma,phi3,ADME_HLM,gemma
gemma,phi3,ADME_hPPB,gemma
gemma,phi3,ADME_MDR1_ER,gemma
gemma,phi3,ADME_hPPB,gemma
gemma,phi3,ADME_Sol,gemma
gemma,phi3,ADME_RLM,gemma
gemma,phi3,ADME_RLM,gemma
gemma,phi3,ADME_rPPB,phi3
gemma,phi3,ADME_MDR1_ER,phi3
gemma,phi3,ADME_Sol,phi3
gemma,phi3,ADME_Sol,gemma
gemma,phi3,ADME_HLM,gemma
gemma,phi3,ADME_rPPB,gemma
gemma,phi3,ADME_RLM,gemma
gemma,phi3,ADME_Sol,gemma
gemma,phi3,ADME_Sol,gemma
gemma,phi3,ADME_Sol,phi3
gemma,phi3,ADME_RLM,gemma
gemma,phi3,ADME_hPPB,phi3
gemma,phi3,ADME_rPPB,gemma
gemma,phi3,ADME_MDR1_ER,phi3
gemma,phi3,ADME_rPPB,gemma
gemma,phi3,ADME_rPPB,gemma
gemma,phi3,ADME_rPPB,gemma
gemma,phi3,ADME_MDR1_ER,gemma
gemma,phi3,ADME_hPPB,gemma
gemma,phi3,ADME_HLM,gemma
gemma,phi3,ADME_HLM,phi3
gemma,phi3,ADME_rPPB,gemma
gemma,phi3,ADME_Sol,gemma
gemma,phi3,ADME_rPPB,gemma
gemma,phi3,ADME_hPPB,phi3
gemma,phi3,ADME_Sol,phi3
gemma,phi3,ADME_RLM,phi3
gemma,phi3,ADME_Sol,phi3
gemma,phi3,ADME_MDR1_ER,gemma
gemma,phi3,ADME_hPPB,gemma
gemma,phi3,ADME_RLM,gemma
gemma,phi3,ADME_MDR1_ER,gemma
gemma,phi3,ADME_hPPB,phi3
gemma,phi3,ADME_hPPB,gemma
gemma,phi3,ADME_hPPB,gemma
gemma,phi3,ADME_HLM,phi3
gemma,phi3,ADME_hPPB,gemma
gemma,phi3,ADME_MDR1_ER,gemma
gemma,phi3,ADME_hPPB,gemma
gemma,phi3,ADME_rPPB,gemma
gemma,phi3,ADME_hPPB,gemma
gemma,phi3,ADME_RLM,gemma
gemma,phi3,ADME_hPPB,gemma
gemma,phi3,ADME_MDR1_ER,phi3
gemma,phi3,ADME_HLM,gemma
gpt-4.1-mini,gpt-4o-mini,ADME_MDR1_ER,gpt-4.1-mini
gpt-4.1-mini,gpt-4o-mini,ADME_RLM,gpt-4.1-mini
gpt-4.1-mini,gpt-4o-mini,ADME_HLM,gpt-4.1-mini
gpt-4.1-mini,gpt-4o-mini,ADME_rPPB,gpt-4o-mini
gpt-4.1-mini,gpt-4o-mini,ADME_hPPB,gpt-4.1-mini
gpt-4.1-mini,gpt-4o-mini,ADME_RLM,gpt-4.1-mini
gpt-4.1-mini,gpt-4o-mini,ADME_MDR1_ER,gpt-4.1-mini
gpt-4.1-mini,gpt-4o-mini,ADME_hPPB,gpt-4.1-mini
gpt-4.1-mini,gpt-4o-mini,ADME_RLM,gpt-4.1-mini
gpt-4.1-mini,gpt-4o-mini,ADME_rPPB,gpt-4.1-mini
gpt-4.1-mini,gpt-4o-mini,ADME_RLM,gpt-4.1-mini
gpt-4.1-mini,gpt-4o-mini,ADME_hPPB,gpt-4.1-mini
gpt-4.1-mini,gpt-4o-mini,ADME_hPPB,gpt-4.1-mini
gpt-4.1-mini,gpt-4o-mini,ADME_HLM,gpt-4.1-mini
gpt-4.1-mini,gpt-4o-mini,ADME_rPPB,gpt-4.1-mini
gpt-4.1-mini,gpt-4o-mini,ADME_MDR1_ER,gpt-4o-mini
gpt-4.1-mini,gpt-4o-mini,ADME_hPPB,gpt-4.1-mini
gpt-4.1-mini,gpt-4o-mini,ADME_Sol,gpt-4.1-mini
gpt-4.1-mini,gpt-4o-mini,ADME_RLM,gpt-4.1-mini
gpt-4.1-mini,gpt-4o-mini,ADME_rPPB,gpt-4o-mini
gpt-4.1-mini,gpt-4o-mini,ADME_HLM,gpt-4.1-mini
gpt-4.1-mini,gpt-4o-mini,ADME_MDR1_ER,gpt-4.1-mini
gpt-4.1-mini,gpt-4o-mini,ADME_HLM,gpt-4.1-mini
